score,hand_length,action,result,reward,p_hand_1,p_hand_2,p_hand_is_nbj,p_hand_is_busted,d_hand_1,d_hand_length,money
12,2,HIT,unsettled,0,33,42,False,False,27,1,5185
16,3,RETRY,unsettled,-5,33,42,False,False,27,1,5185
12,2,HIT,unsettled,0,34,28,False,False,45,1,5170
15,3,SURRENDER,surrendered,-10,34,28,False,False,45,1,5170
21,2,STAND,win,30,37,26,True,False,16,1,5160
21,2,RETRY,unsettled,-5,13,51,True,False,12,1,5170
18,2,RETRY,unsettled,-5,13,32,False,False,12,1,5165
9,2,HIT,unsettled,0,16,17,False,False,46,1,5140
9,2,HIT,unsettled,0,29,43,False,False,10,1,5130
15,2,DOUBLE DOWN,win,40,3,26,False,False,6,1,5110
20,2,RETRY,unsettled,-5,49,23,False,False,7,1,5110
21,2,DOUBLE DOWN,win,40,49,26,True,False,7,1,5105
9,2,RETRY,unsettled,-5,19,40,False,False,16,1,5145
17,2,STAND,win,20,19,36,False,False,16,1,5140
11,2,HIT,unsettled,0,45,3,False,False,28,1,5160
21,3,STAND,win,20,45,3,False,False,28,1,5160
7,2,HIT,unsettled,0,17,14,False,False,11,1,5180
13,2,STAND,win,20,7,30,False,False,1,1,5160
18,2,STAND,win,20,46,38,False,False,49,1,5150
16,2,DOUBLE DOWN,win,40,0,4,False,False,45,1,5160
8,2,DOUBLE DOWN,win,40,44,40,False,False,5,1,5190
12,2,RETRY,unsettled,-5,14,25,False,False,44,1,5230
9,2,HIT,unsettled,0,14,45,False,False,44,1,5225
19,3,RETRY,unsettled,-5,14,45,False,False,44,1,5225
21,2,HIT,unsettled,0,22,26,True,False,31,1,5200
7,2,RETRY,unsettled,-5,14,43,False,False,9,1,5180
14,2,RETRY,unsettled,-5,47,30,False,False,21,1,5105
11,2,HIT,unsettled,0,34,1,False,False,27,1,5040
13,2,RETRY,unsettled,-5,32,44,False,False,34,1,4910
16,2,HIT,unsettled,0,24,18,False,False,25,1,4865
12,2,DOUBLE DOWN,win,40,40,37,False,False,6,1,4825
18,2,RETRY,unsettled,-5,7,12,False,False,45,1,4865
19,2,STAND,win,20,7,13,False,False,45,1,4860
21,2,STAND,win,30,26,35,True,False,9,1,4880
15,2,SURRENDER,surrendered,-10,31,34,False,False,10,1,4890
17,2,RETRY,unsettled,-5,47,33,False,False,35,1,4880
9,2,DOUBLE DOWN,win,40,5,15,False,False,1,1,4825
15,2,HIT,unsettled,0,43,48,False,False,26,1,4825
